TargetCandidateName,TargetCandidateOffice,TargetPropositionName,ExpenderPosition,ExpenderName,ExpenderID,Amount,ExpenditureDscr,PayeeName,DateStart,DateEnd,DateRange
"Steinorth, Marc",State Assembly,,S,SOUTHERN CALIFORNIA TAXPAYERS ASSOCIATION,1392292,4537.5,Radio Advertisements,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Medina, Abigail",State Assembly,,O,SOUTHERN CALIFORNIA TAXPAYERS ASSOCIATION,1392292,4537.5,Radio Advertising,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,63- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $23,486.70",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,63- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $23,486.70",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,64- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.70",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,64- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.70",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,65- CARRY-OUT BAGS. CHARGES. INITIATIVE STATUTE.,O,Courage Campaign Issues Committee,1280745,7.7,"Staff Time $8,086.74",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,65- CARRY-OUT BAGS. CHARGES. INITIATIVE STATUTE.,O,Courage Campaign Issues Committee,1280745,7.7,"Staff Time $8,086.74",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,66- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,O,Courage Campaign Issues Committee,1280745,7.7,"Staff Time $8,086.74",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,66- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,O,Courage Campaign Issues Committee,1280745,7.7,"Staff Time $8,086.74",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,67- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,S,Courage Campaign Issues Committee,1280745,7.7,"Staff Time $8,194.44",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,67- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,S,Courage Campaign Issues Committee,1280745,7.7,"Staff Time $8,194.44",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kim, Young",State Assembly,,O,COUNTERPAC (FED PAC ID C00566778),1386128,25.08,Online Ads,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kim, Young",State Assembly,,O,COUNTERPAC (FED PAC ID C00566778),1386128,45.83,Online Ads,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kim, Young",State Assembly,,O,COUNTERPAC (FED PAC ID C00566778),1386128,5.78,Online Ads,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kim, Young",State Assembly,,O,COUNTERPAC (FED PAC ID C00566778),1386128,252.15,Online Ads,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Criminal Sentences. Juvenile Criminal Proceedings and Sentencing. Initiative Constitutional Amendment and Statute. Proposition 57,O,San Bernardino County Sheriff's Employees' Benefit Association Political Issues Committee,1343640,1500.0,On-Line Ads,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Cook-kallio, Cheryl",State Assembly,,O,PARENTS AND TEACHERS FOR STUDENT SUCCESS,1347662,3031.95,LIVE CALLS,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,1002.07,"OFC $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,29.52,"Field Expenses $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,117.17,"Field Expenses $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,91.8,"Field Expenses $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,28.35,"Field Expenses $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,66.13,"Field Expenses $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,137.74,"Field Expenses $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,148.6,"Voter Data $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,553.44,"Voter Data $91,481.20",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Prop 53 - REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,O,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Prop 53 - REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,O,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Prop 57 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,Prop 57 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,"Prop 58 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,"Prop 58 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,086.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,"59- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,386.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,"59- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,386.67",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,62- DEATH PENALTY. INITIATIVE STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,286.68",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"",,62- DEATH PENALTY. INITIATIVE STATUTE.,S,Courage Campaign Issues Committee,1280745,7.69,"Staff Time $8,286.68",,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Friedman, Laura",State Assembly,,S,"Parent Teacher Alliance, sponsored by California Charter Schools Association Advocates Independent Expenditure Committee",1367043,4860.0,CMP,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,13.1,Food for campaign,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,36.18,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,27.0,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,118.52,Food,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,4.01,Food,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,48.45,Supplies,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,69.07,Food,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,74.11,Food,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,32.13,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,7.02,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,15.12,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,16.44,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,14.85,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,18.09,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,11.72,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,19.17,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,10.8,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,7.02,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,60.08,Room Rental,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,38.49,Room Rental,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,17.82,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,16.2,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,49.68,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,23.49,Travel,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,35.0,Telephone,,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z,2016-11-07
"Hadley, David",State Assembly,,S,South Bay Residents for Better Schools & Jobs supporting Hadley for Assembly 2016 with major funding by Gerald J. Marcil and Brawley El Centro Group LLC,1389354,7282.0,Print Ads,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Furutani, Warren",State Senate,,S,South Bay & Harbor Area Communities in Support of Warren Furutani for Senate 2016,1388400,1800.0,Phone bank and texting,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,1473.2,"Field Program Expenses $90,160.98",,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kim, Jane",State Senate,,O,Equality California Political Action Committee,1254010,118575.0,TV ADS,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kim, Jane",State Senate,,O,Equality California Political Action Committee,1254010,1000.0,RESEARCH,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,"59- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",S,Courage Campaign Issues Committee,1280745,100.0,"Staff Time $8,371.29",,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Friedman, Laura",State Assembly,,S,Equality California Political Action Committee,1254010,5028.0,PHONE CALLS,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,Friends of CAUSE Action Fund,1279696,6015.06,Ground Campaign,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,"Prop 56 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",S,Friends of CAUSE Action Fund,1279696,5573.01,Ground Campaign,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 57 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,S,Friends of CAUSE Action Fund,1279696,5929.85,Ground Campaign,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Caballero, Anna",State Assembly,,S,"Parent Teacher Alliance, sponsored by California Charter Schools Association Advocates Independent Expenditure Committee",1367043,2261.0,"PHO, SAL",,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,"Prop 58 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,73.16,Food for precinct walking,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,"Prop 58 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,26.12,Food for precinct walk,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,353.33,Cell phone for phone bank,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,623.7,Paid phone bankers,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,73.17,Food for precinct walking,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,97.01,Food for phone bank,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,397.1,Political data files,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,26.12,Food for precinct walk,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,5.45,Food for precinct walk,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"",,Prop 55 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,171.67,Automated phone dialer for phone banking,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kim, Young",State Assembly,,S,"Orange County Freedom Fund, sponsored by Moving Orange County Forward",1340744,2161.88,"CNS, PHO, WEB",,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Muratsuchi, Al",State Assembly,,S,Equality California Political Action Committee,1254010,4039.0,PHONE CALLS,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,119.97,Food,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,1063.65,Doorhangers,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,22.46,Food,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,32.64,Food,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,102.69,Food,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,54.12,Food,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,75.0,Room,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Kalra, Ash",State Assembly,,S,South Bay AFL-CIO Labor Council Committee on Political Education Sponsored by South Bay AFL-CIO Labor Council,1019170,24.39,Room Rental,,2016-11-06T00:00:00Z,2016-11-06T00:00:00Z,2016-11-06
"Wiener, Scott",State Senate,,S,SAN FRANCISCO PARENT POLITICAL ACTION COMMITTEE,1330472,5000.0,WEB ADS,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Kim, Jane",State Senate,,S,"Working Families for Jane Kim for Senate 2016, sponsored by a coalition of families, nurses, teachers, health care, service, hotel and electrical workers",1390487,3529.74,Print ads 11/05/16 & 11/06/16,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Kim, Jane",State Senate,,S,"Working Families for Jane Kim for Senate 2016, sponsored by a coalition of families, nurses, teachers, health care, service, hotel and electrical workers",1390487,1982.28,Print ads 11/05/16 & 11/06/16,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,248.75,"Field Expenses $90,160.98",,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Quirk-Silva, Sharon",,,S,"Orange County Dignity PAC, sponsored by Orange County Federation of Labor, AFL-CIO",1344592,222.57,"Voter Data $90,160.98",,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Friedman, Laura",State Assembly,,S,Equality California Political Action Committee,1254010,304.62,PHONE CALLS,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Kim, Jane",State Senate,,S,"San Francisco Tenants and Families for Affordable Housing, sponsored by community and labor organizations",1378915,6555.74,Phonebanking,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Kim, Jane",State Senate,,S,"San Francisco Tenants and Families for Affordable Housing, sponsored by community and labor organizations",1378915,1260.69,Palm Card,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Kim, Jane",State Senate,,S,"San Francisco Tenants and Families for Affordable Housing, sponsored by community and labor organizations",1378915,1073.54,Doorhanger,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Grayson, Tim",State Assembly,,S,California Charter Schools Association Advocates Independent Expenditure Committee,1339522,2960.0,PHO,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Caballero, Anna",State Assembly,,S,"Parent Teacher Alliance, sponsored by California Charter Schools Association Advocates Independent Expenditure Committee",1367043,264.48,SAL,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Caballero, Anna",State Assembly,,S,"Parent Teacher Alliance, sponsored by California Charter Schools Association Advocates Independent Expenditure Committee",1367043,930.24,PHO,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Brown, Cheryl",State Assembly,,S,"KEEPING CALIFORNIANS WORKING, DENTISTS, HOUSING PROVIDERS, ENERGY AND INSURANCE AGENTS",1365806,3500.0,LIVE CALLS,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Torlakson, Mae",State Assembly,,S,"Opportunity PAC - A coalition of teachers, health care givers, faculty members, school employees, and public and private employee associations",1072107,1000.0,Robocalls (estimate),,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Bocanegra, Raul",State Assembly,,S,DART CONTAINER CORPORATION,1324683,20000.0,RADIO ADS,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"Grayson, Tim",State Assembly,,S,DART CONTAINER CORPORATION,1324683,4136.72,TELEPHONE CALLS,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
"",,"Prop 58 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",S,"United Teachers Los Angeles-Political Action Council of Educators(PACE)Issues, a Committee for Propositions 55 and 58",1060144,64.35,Food for precinct walk,,2016-11-05T00:00:00Z,2016-11-05T00:00:00Z,2016-11-05
